TIME,# OF DEVICES,MANUFACTURER LIST
18-09-23 21:13 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:16 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 21:19 CEST,2,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Apple': 1}
18-09-23 21:22 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 21:25 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:28 CEST,6,{'Cisco Spvtg': 1, 'Apple': 3, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1}
18-09-23 21:31 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 21:34 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:37 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:40 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:43 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:46 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 21:49 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:52 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:55 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 21:58 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 22:23 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 22:26 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-09-23 22:30 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 22:34 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 22:38 CEST,4,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 1}
18-09-23 22:42 CEST,5,{'Cisco Spvtg': 1, 'OnePlus Technology Shenzhen': 1, 'Google': 1, 'Hon Hai Precision Ind.': 1, 'Apple': 2}
18-10-01 00:37 CEST,3,{'OnePlus Technology Shenzhen': 1, 'Murata Manufacturing': 1, 'Technicolor CH USA': 1, 'Actiontec Electronics': 1}
18-10-01 00:41 CEST,2,{'OnePlus Technology Shenzhen': 1, 'Technicolor CH USA': 1, 'Actiontec Electronics': 1}
18-10-01 00:45 CEST,3,{'OnePlus Technology Shenzhen': 1, 'Technicolor CH USA': 1, 'Unknown': 1, 'Actiontec Electronics': 1}
